zipcode,Build_Small,Build_Medium,Build_Large,New_Total,U5_From_New,New_U5,Existing_Total,Expand_Total,Need_Total,Meet_Total_Demand,Existing_U5,Expand_U5,Need_U5,Meet_U5_Demand,Desert_Eliminated,Cost_Build,Cost_ExpandBase,Cost_U5_Equip
10028,0,1,5,2200,1100,1100,348,25,1633,TRUE,21.6,25,1146,TRUE,TRUE,670000,6582.278481,112500
10029,0,0,12,4800,2400,2400,3358,244,4837,TRUE,0,244,2644,TRUE,TRUE,1380000,83335.9842,264400
10033,0,0,10,4000,2000,2000,2893,138,3623,TRUE,0,138,2138,TRUE,TRUE,1150000,40789.59783,213800
10037,1,0,3,1300,650,650,586,52,1283,TRUE,12.6,52,714,TRUE,TRUE,410000,24878.09955,70200
10039,0,0,6,2400,1200,1200,1423,66,2316,TRUE,0,66,1266,TRUE,TRUE,690000,18675.30864,126600
10044,0,0,3,1200,600,600,489,26,586,TRUE,0,26,626,TRUE,TRUE,345000,8567.781668,62600
10065,0,0,7,2800,1400,1400,845,63,1367,TRUE,24,63,1487,TRUE,TRUE,805000,16244.78879,146300
10069,0,1,2,1000,460,460,16,0,429,TRUE,0,0,460,TRUE,TRUE,325000,0,46000
10075,0,0,4,1600,800,800,235,29,841,TRUE,0,29,829,TRUE,TRUE,460000,11568.05972,82900
10128,1,0,9,3700,1850,1850,301,11,1887,TRUE,0,11,1861,TRUE,TRUE,1100000,3382.795699,186100
10199,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,TRUE,TRUE,0,,0
10282,1,0,1,500,250,250,279,29,446,TRUE,0,29,279,TRUE,TRUE,180000,9216.133829,27900
10301,0,0,9,3600,1800,1800,1905,48,2045,TRUE,6,48,1854,TRUE,TRUE,1035000,12629.85685,184800
10302,0,0,4,1600,800,800,744,92,1662,TRUE,0,92,892,TRUE,TRUE,460000,65365.0618,89200
10303,0,0,4,1600,800,800,1629,42,2153,TRUE,0,42,842,TRUE,TRUE,460000,12284.81675,84200
10305,0,0,5,2000,1000,1000,786,102,1754,TRUE,0,102,1102,TRUE,TRUE,575000,77577.88306,110200
10306,0,1,8,3400,1700,1700,578,38,2643,TRUE,0,38,1738,TRUE,TRUE,1015000,15072.31158,173800
10307,0,1,3,1400,700,700,259,32,736,TRUE,0,32,732,TRUE,TRUE,440000,17012.98051,73200
10308,0,1,3,1400,700,700,447,38,1297,TRUE,0,38,738,TRUE,TRUE,440000,13412.8655,73800
10309,1,0,6,2500,1250,1250,297,41,1792,TRUE,0,41,1291,TRUE,TRUE,755000,25381.10653,129100
10310,0,0,7,2800,1400,1400,1168,45,1587,TRUE,0,45,1445,TRUE,TRUE,805000,13270.54196,144500
10312,0,0,12,4800,2400,2400,1140,42,3363,TRUE,4.8,42,2446,TRUE,TRUE,1380000,10597.04433,244200
10454,0,0,8,3200,1600,1600,3163,314,3969,TRUE,0,314,1914,TRUE,TRUE,920000,146975.297,191400
10457,0,0,21,8400,4195,4195,6559,329,8634,TRUE,0,329,4524,TRUE,TRUE,2415000,99270.57987,452400
10461,0,0,9,3600,1800,1800,1462,34,3960,TRUE,0,34,1834,TRUE,TRUE,1035000,9709.090909,183400
10462,0,0,18,7200,3600,3600,3425,121,6682,TRUE,0,121,3721,TRUE,TRUE,2070000,35209.03294,372100
10464,1,0,0,100,50,50,114,0,173,TRUE,0,0,50,TRUE,TRUE,65000,0,5000
10465,0,0,10,4000,2000,2000,1888,179,2403,TRUE,0,179,2179,TRUE,TRUE,1150000,113423.3198,217900
10470,0,0,4,1600,800,800,632,74,1078,TRUE,0,74,874,TRUE,TRUE,460000,55577.29483,87400
10471,1,0,3,1300,650,650,284,27,837,TRUE,0,27,677,TRUE,TRUE,410000,20100,67700
10472,0,0,17,6800,3400,3400,3593,148,6196,TRUE,0,148,3548,TRUE,TRUE,1955000,47047.03784,354800
10474,0,0,3,1200,600,600,1194,68,1301,TRUE,0,68,668,TRUE,TRUE,345000,18640.4759,66800
10475,0,0,10,4000,2000,2000,1808,77,3229,TRUE,0,77,2077,TRUE,TRUE,1150000,21217.77778,207700
10501,1,0,0,100,11,11,0,0,43,TRUE,0,0,11,TRUE,TRUE,65000,,1100
10502,0,0,1,400,200,200,273,15,336,TRUE,0,15,215,TRUE,TRUE,115000,4840.490798,21500
10503,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,TRUE,TRUE,0,,0
10505,1,0,0,100,30,30,0,0,82,TRUE,0,0,30,TRUE,TRUE,65000,,3000
10507,0,0,1,400,162,162,220,0,354,TRUE,122.6,0,284,TRUE,TRUE,115000,0,16200
10511,0,1,0,200,80,80,72,0,101,TRUE,0,0,80,TRUE,TRUE,95000,0,8000
10514,0,0,1,400,194,194,585,0,808,TRUE,294,0,488,TRUE,TRUE,115000,0,19400
10516,1,0,0,100,50,50,163,25,239,TRUE,114.6,25,189,TRUE,TRUE,65000,24550.32376,7500
10518,1,0,0,100,8,8,0,0,26,TRUE,0,0,8,TRUE,TRUE,65000,,800
10519,1,0,0,100,0,0,0,0,8,TRUE,0,0,0,TRUE,TRUE,65000,,0
10524,0,1,0,200,88,88,16,0,169,TRUE,0,0,88,TRUE,TRUE,95000,0,8800
10526,0,1,0,200,54,54,0,0,83,TRUE,0,0,54,TRUE,TRUE,95000,,5400
10528,0,0,1,400,188,188,690,0,793,TRUE,336.2,0,524,TRUE,TRUE,115000,0,18800
10530,0,0,2,800,400,400,405,53,583,TRUE,125.6,53,578,TRUE,TRUE,230000,38417.77778,45300
10533,0,1,1,600,300,300,157,7,576,TRUE,52.8,7,359,TRUE,TRUE,210000,2990.909091,30700
10536,0,0,1,400,170,170,315,0,636,TRUE,174.4,0,344,TRUE,TRUE,115000,0,17000
10537,0,1,0,200,67,67,0,0,147,TRUE,0,0,67,TRUE,TRUE,95000,,6700
10538,0,0,3,1200,555,555,455,0,1272,TRUE,254.4,0,809,TRUE,TRUE,345000,0,55500
10542,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,TRUE,TRUE,0,,0
10543,0,0,2,800,400,400,867,67,1237,TRUE,295.6,67,762,TRUE,TRUE,230000,26786.7851,46700
10545,1,0,0,100,0,0,0,0,3,TRUE,0,0,0,TRUE,TRUE,65000,,0
10546,1,0,0,100,32,32,0,0,63,TRUE,0,0,32,TRUE,TRUE,65000,,3200
10548,0,0,1,400,155,155,121,0,200,TRUE,47.8,0,202,TRUE,TRUE,115000,0,15500
10549,0,0,2,800,400,400,734,94,883,TRUE,436,94,930,TRUE,TRUE,230000,48281.82731,49400
10553,0,1,1,600,292,292,156,0,607,TRUE,0,0,292,TRUE,TRUE,210000,0,29200
10560,1,0,1,500,250,250,129,6,289,TRUE,0,6,256,TRUE,TRUE,180000,2130.232558,25600
10567,0,0,3,1200,600,600,303,18,1000,TRUE,139.8,18,757,TRUE,TRUE,345000,8116.326986,61800
10570,0,1,1,600,300,300,316,28,638,TRUE,112.2,28,440,TRUE,TRUE,210000,9103.637768,32800
10573,0,0,5,2000,1000,1000,1573,137,1976,TRUE,362.2,137,1499,TRUE,TRUE,575000,61699.08164,113700
10576,0,1,0,200,66,66,40,0,154,TRUE,0,0,66,TRUE,TRUE,95000,0,6600
10578,0,1,0,200,19,19,0,0,129,TRUE,0,0,19,TRUE,TRUE,95000,,1900
10580,0,0,2,800,360,360,410,0,1143,TRUE,174,0,534,TRUE,TRUE,230000,0,36000
10583,0,0,2,800,400,400,1776,136,2548,TRUE,918.2,136,1454,TRUE,TRUE,230000,44450.67614,53600
10588,1,0,1,500,215,215,41,0,189,TRUE,0,0,215,TRUE,TRUE,180000,0,21500
10589,0,1,0,200,73,73,210,0,352,TRUE,49.4,0,122,TRUE,TRUE,95000,0,7300
10590,0,1,0,200,98,98,245,0,347,TRUE,118.2,0,216,TRUE,TRUE,95000,0,9800
10594,1,0,1,500,240,240,32,0,318,TRUE,0,0,240,TRUE,TRUE,180000,0,24000
10596,1,0,0,100,10,10,0,0,19,TRUE,0,0,10,TRUE,TRUE,65000,,1000
10597,1,0,0,100,6,6,0,0,59,TRUE,0,0,6,TRUE,TRUE,65000,,600
10601,1,0,0,100,50,50,284,26,339,TRUE,144.2,26,220,TRUE,TRUE,65000,10335.38064,7600
10603,0,1,3,1400,700,700,338,36,1019,TRUE,34.8,36,770,TRUE,TRUE,440000,18388.95645,73600
10604,0,1,0,200,100,100,727,32,767,TRUE,340.4,32,472,TRUE,TRUE,95000,11152.56497,13200
10607,1,0,0,100,50,50,345,35,410,TRUE,138.4,35,223,TRUE,TRUE,65000,16280.94421,8500
10707,1,0,1,500,250,250,357,16,494,TRUE,211.2,16,477,TRUE,TRUE,180000,5298.427888,26600
10708,0,1,3,1400,689,689,193,0,968,TRUE,67,0,756,TRUE,TRUE,440000,0,68900
10710,0,0,4,1600,800,800,757,8,1107,TRUE,0,8,808,TRUE,TRUE,460000,2327.272727,80800
10803,0,1,0,200,45,45,660,42,902,TRUE,367.4,26,438,TRUE,TRUE,95000,14350.82062,7100
10910,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,TRUE,TRUE,0,,0
10911,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,TRUE,TRUE,0,,0
10915,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,TRUE,TRUE,0,,0
10916,0,0,1,400,103,103,8,0,219,TRUE,0,0,103,TRUE,TRUE,115000,0,10300
10918,1,0,2,900,445,445,166,0,603,TRUE,67.2,0,512,TRUE,TRUE,295000,0,44500
10921,1,0,0,100,41,41,182,0,209,TRUE,107.4,0,148,TRUE,TRUE,65000,0,4100
10922,0,0,1,400,118,118,0,0,64,TRUE,0,0,118,TRUE,TRUE,115000,,11800
10923,0,1,2,1000,487,487,171,0,603,TRUE,76.6,0,563,TRUE,TRUE,325000,0,48700
10924,0,0,1,400,200,200,435,61,642,TRUE,226.6,61,487,TRUE,TRUE,115000,43583.59101,26100
10926,0,0,1,400,167,167,40,0,202,TRUE,0,0,167,TRUE,TRUE,115000,0,16700
10927,0,1,2,1000,500,500,619,26,1134,TRUE,179.2,26,705,TRUE,TRUE,325000,7063.799283,52600
10928,0,0,1,400,148,148,101,0,263,TRUE,0,0,148,TRUE,TRUE,115000,0,14800
10930,0,0,1,400,172,172,92,0,437,TRUE,44.8,0,216,TRUE,TRUE,115000,0,17200
10931,0,1,0,200,89,89,0,0,91,TRUE,0,0,89,TRUE,TRUE,95000,,8900
10932,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,TRUE,TRUE,0,,0
10933,1,0,0,100,28,28,0,0,43,TRUE,0,0,28,TRUE,TRUE,65000,,2800
10953,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,TRUE,TRUE,0,,0
10958,0,1,0,200,62,62,0,0,119,TRUE,0,0,62,TRUE,TRUE,95000,,6200
10960,0,0,1,400,200,200,460,26,590,TRUE,186.4,26,412,TRUE,TRUE,115000,10597.52202,22600
10962,0,0,1,400,120,120,16,0,207,TRUE,0,0,120,TRUE,TRUE,115000,0,12000
10969,0,1,0,200,68,68,0,0,128,TRUE,0,0,68,TRUE,TRUE,95000,,6800
10974,0,0,1,400,139,139,48,0,152,TRUE,0,0,139,TRUE,TRUE,115000,0,13900
10975,1,0,0,100,0,0,0,0,38,TRUE,0,0,0,TRUE,TRUE,65000,,0
10976,1,0,0,100,17,17,0,0,60,TRUE,0,0,17,TRUE,TRUE,65000,,1700
10979,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,TRUE,TRUE,0,,0
10984,0,0,1,400,199,199,143,0,190,TRUE,0,0,199,TRUE,TRUE,115000,0,19900
10985,1,0,0,100,4,4,0,0,3,TRUE,0,0,4,TRUE,TRUE,65000,,400
10986,1,0,0,100,30,30,0,0,78,TRUE,0,0,30,TRUE,TRUE,65000,,3000
10987,0,1,0,200,100,100,40,4,138,TRUE,0,4,104,TRUE,TRUE,95000,2800,10400
10988,1,0,0,100,44,44,0,0,48,TRUE,0,0,44,TRUE,TRUE,65000,,4400
10989,0,1,0,200,100,100,261,18,295,TRUE,72.4,18,190,TRUE,TRUE,95000,9075,11800
10992,0,0,1,400,200,200,360,36,553,TRUE,154.6,36,390,TRUE,TRUE,115000,18572.75347,23600
10996,0,0,2,800,356,356,0,0,464,TRUE,0,0,356,TRUE,TRUE,230000,,35600
10998,0,0,1,400,147,147,43,0,214,TRUE,25.8,0,172,TRUE,TRUE,115000,0,14700
11001,0,0,3,1200,600,600,537,5,1286,TRUE,143.2,5,748,TRUE,TRUE,345000,1487.804878,60500
11004,0,0,3,1200,596,596,427,0,660,TRUE,0,0,596,TRUE,TRUE,345000,0,59600
11005,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,TRUE,TRUE,0,,0
11010,0,0,5,2000,972,972,282,0,1293,TRUE,0,0,972,TRUE,TRUE,575000,0,97200
11020,0,1,0,200,77,77,142,0,257,TRUE,45.6,0,122,TRUE,TRUE,95000,0,7700
11021,1,0,2,900,450,450,202,14,890,TRUE,161.2,14,625,TRUE,TRUE,295000,6731.470302,46400
11023,0,1,1,600,300,300,355,31,809,TRUE,171.4,31,502,TRUE,TRUE,210000,13100.73632,33100
11024,0,1,1,600,300,300,552,45,732,TRUE,225.2,45,570,TRUE,TRUE,210000,15595.54967,34500
11030,0,0,1,400,200,200,689,72,956,TRUE,207,72,479,TRUE,TRUE,115000,30157.86322,27200
11040,0,0,4,1600,790,790,1220,0,1833,TRUE,508,0,1298,TRUE,TRUE,460000,0,79000
11050,0,0,2,800,400,400,1928,204,1932,TRUE,682.4,204,1286,TRUE,TRUE,230000,86990.06071,60400
11096,1,0,2,900,450,450,349,16,1010,TRUE,129.8,16,595,TRUE,TRUE,295000,5983.068783,46600
11101,0,0,6,2400,1200,1200,1616,205,2058,TRUE,3.6,205,1408,TRUE,TRUE,690000,95994.48575,140500
11103,0,0,5,2000,1000,1000,524,2,1031,TRUE,0,2,1002,TRUE,TRUE,575000,587.7934272,100200
11105,0,0,7,2800,1389,1389,830,0,1563,TRUE,13.2,0,1402,TRUE,TRUE,805000,0,138900
11109,0,0,3,1200,586,586,89,0,471,TRUE,0,0,586,TRUE,TRUE,345000,0,58600
11201,0,0,16,6400,3200,3200,1957,100,3321,TRUE,0,100,3300,TRUE,TRUE,1840000,29597.0696,330000
11203,0,0,12,4800,2400,2400,3405,292,5175,TRUE,0,292,2692,TRUE,TRUE,1380000,124068.9109,269200
11204,0,0,23,9200,4600,4600,3192,206,9012,TRUE,0,206,4806,TRUE,TRUE,2645000,59663.83404,480600
11205,0,0,16,6400,3168,3168,918,0,3846,TRUE,0,0,3168,TRUE,TRUE,1840000,0,316800
11206,0,0,23,9200,4600,4600,3393,202,8969,TRUE,0,202,4802,TRUE,TRUE,2645000,63450.14819,480200
11209,0,0,13,5200,2600,2600,1423,191,3346,TRUE,0,191,2791,TRUE,TRUE,1495000,105692.7378,279100
11212,0,0,18,7200,3600,3600,5430,326,7324,TRUE,0,326,3926,TRUE,TRUE,2070000,102473.6727,392600
11213,0,0,15,6000,3000,3000,2191,215,5915,TRUE,9,215,3224,TRUE,TRUE,1725000,101121.59,321500
11214,0,0,16,6400,3200,3200,2498,287,6978,TRUE,0,287,3487,TRUE,TRUE,1840000,124978.7211,348700
11215,0,0,18,7200,3600,3600,3125,208,4209,TRUE,0,208,3808,TRUE,TRUE,2070000,72154.73238,380800
11216,0,0,10,4000,2000,2000,1778,72,2473,TRUE,0,72,2072,TRUE,TRUE,1150000,22222.57012,207200
11217,0,0,12,4800,2400,2400,1183,63,2089,TRUE,0,63,2463,TRUE,TRUE,1380000,19235.57858,246300
11218,0,0,15,6000,3000,3000,3087,288,4597,TRUE,0,288,3288,TRUE,TRUE,1725000,117865.1592,328800
11220,0,0,18,7200,3600,3600,2411,255,8703,TRUE,0,255,3855,TRUE,TRUE,2070000,114852.8167,385500
11221,0,0,14,5600,2800,2800,3111,278,5779,TRUE,0,278,3078,TRUE,TRUE,1610000,133450.6682,307800
11222,0,0,8,3200,1600,1600,672,29,1456,TRUE,0,29,1629,TRUE,TRUE,920000,8466.666667,162900
11223,0,0,22,8800,4400,4400,1448,28,8004,TRUE,0,28,4428,TRUE,TRUE,2530000,7130.054645,442800
11228,0,0,7,2800,1400,1400,1293,120,1998,TRUE,0,120,1520,TRUE,TRUE,805000,39375.63726,152000
11229,0,0,15,6000,3000,3000,1840,186,4358,TRUE,0,186,3186,TRUE,TRUE,1725000,86844.19625,318600
11230,0,0,26,10400,5200,5200,824,79,6033,TRUE,0,79,5279,TRUE,TRUE,2990000,55965.71429,527900
11231,0,0,10,4000,2000,2000,1462,112,2359,TRUE,0,112,2112,TRUE,TRUE,1150000,46375.40624,211200
11238,0,0,14,5600,2800,2800,2010,168,2652,TRUE,0,168,2968,TRUE,TRUE,1610000,57224.76299,296800
11239,1,0,1,500,250,250,802,75,984,TRUE,0,75,325,TRUE,TRUE,180000,31533.35451,32500
11355,0,0,11,4400,2200,2200,3453,343,4700,TRUE,0,343,2543,TRUE,TRUE,1265000,119422.9763,254300
11359,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,TRUE,TRUE,0,,0
11360,0,0,3,1200,573,573,485,0,646,TRUE,0,0,573,TRUE,TRUE,345000,0,57300
11362,0,0,2,800,400,400,349,18,621,TRUE,0,18,418,TRUE,TRUE,230000,6076.190476,41800
11363,0,0,1,400,200,200,226,14,390,TRUE,9,14,223,TRUE,TRUE,115000,4717.808219,21400
11365,0,0,9,3600,1800,1800,1326,136,3582,TRUE,0,136,1936,TRUE,TRUE,1035000,55533.76766,193600
11366,0,0,3,1200,555,555,587,0,627,TRUE,0,0,555,TRUE,TRUE,345000,0,55500
11371,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,TRUE,TRUE,0,,0
11372,0,0,12,4800,2400,2400,1767,129,4842,TRUE,9.6,129,2538,TRUE,TRUE,1380000,39150.53804,252900
11377,0,0,16,6400,3200,3200,3046,271,6156,TRUE,0,271,3471,TRUE,TRUE,1840000,77611.44855,347100
11411,0,0,3,1200,600,600,745,15,802,TRUE,0,15,615,TRUE,TRUE,345000,4875,61500
11414,0,0,7,2800,1400,1400,828,43,1717,TRUE,0,43,1443,TRUE,TRUE,805000,11915.78947,144300
11415,0,0,4,1600,784,784,63,0,928,TRUE,0,0,784,TRUE,TRUE,460000,0,78400
11417,0,1,6,2600,1300,1300,838,49,2755,TRUE,0,49,1349,TRUE,TRUE,785000,13757.44681,134900
11419,0,0,6,2400,1200,1200,1090,105,2814,TRUE,0,105,1305,TRUE,TRUE,690000,49014.21095,130500
11424,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,TRUE,TRUE,0,,0
11426,0,0,4,1600,800,800,711,30,871,TRUE,0,30,830,TRUE,TRUE,460000,7500,83000
11428,0,0,3,1200,600,600,545,50,1103,TRUE,0,50,650,TRUE,TRUE,345000,21537.45838,65000
11430,1,0,0,100,0,0,0,0,23,TRUE,0,0,0,TRUE,TRUE,65000,,0
11432,0,0,13,5200,2600,2600,1639,186,4880,TRUE,0,186,2786,TRUE,TRUE,1495000,81648.22679,278600
11433,0,0,9,3600,1800,1800,2105,92,3404,TRUE,0,92,1892,TRUE,TRUE,1035000,23424.46256,189200
11435,0,0,16,6400,3200,3200,1759,25,5125,TRUE,0,25,3225,TRUE,TRUE,1840000,6577.287066,322500
11436,0,0,3,1200,574,574,256,34,1490,TRUE,0,34,608,TRUE,TRUE,345000,59097.06881,60800
11439,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,TRUE,TRUE,0,,0
11451,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,TRUE,TRUE,0,,0
11501,0,0,1,400,180,180,933,0,987,TRUE,511.8,0,691,TRUE,TRUE,115000,0,18000
11507,0,0,1,400,170,170,213,0,288,TRUE,0,0,170,TRUE,TRUE,115000,0,17000
11509,0,1,0,200,27,27,0,0,103,TRUE,0,0,27,TRUE,TRUE,95000,,2700
11514,1,0,0,100,50,50,276,36,334,TRUE,105.2,36,191,TRUE,TRUE,65000,19707.51624,8600
11518,0,0,1,400,150,150,472,0,489,TRUE,221.6,0,371,TRUE,TRUE,115000,0,15000
11520,0,0,5,2000,1000,1000,2809,139,3303,TRUE,459.2,139,1598,TRUE,TRUE,575000,97842.40103,113900
11530,1,0,3,1300,650,650,671,69,1561,TRUE,180.2,69,899,TRUE,TRUE,410000,37037.46759,71900
11547,1,0,0,100,0,0,0,0,21,TRUE,0,0,0,TRUE,TRUE,65000,,0
11549,1,0,0,100,2,2,0,0,1,TRUE,0,0,2,TRUE,TRUE,65000,,200
11554,0,0,6,2400,1165,1165,962,0,1843,TRUE,297.2,0,1462,TRUE,TRUE,690000,0,116500
11557,0,0,1,400,179,179,390,0,448,TRUE,120.2,0,299,TRUE,TRUE,115000,0,17900
11560,0,0,1,400,189,189,117,0,359,TRUE,53,0,242,TRUE,TRUE,115000,0,18900
11561,0,0,4,1600,800,800,654,33,1306,TRUE,268.2,33,1101,TRUE,TRUE,460000,11595.48551,83300
11565,0,1,1,600,300,300,323,0,440,TRUE,130,0,430,TRUE,TRUE,210000,0,30000
11569,1,0,0,100,0,0,0,0,16,TRUE,0,0,0,TRUE,TRUE,65000,,0
11570,0,0,3,1200,600,600,653,57,1454,TRUE,357.6,57,1014,TRUE,TRUE,345000,21277.69695,65700
11572,0,0,1,400,200,200,1147,113,1399,TRUE,581.2,113,894,TRUE,TRUE,115000,53210.13596,31300
11575,0,0,4,1600,800,800,1386,120,1908,TRUE,227.2,120,1147,TRUE,TRUE,460000,84757.76512,92000
11577,0,0,0,0,0,0,667,18,685,TRUE,339,0,292,TRUE,TRUE,0,5138.461538,0
11579,0,0,1,400,199,199,140,0,354,TRUE,12,0,211,TRUE,TRUE,115000,0,19900
11580,0,0,3,1200,600,600,1009,78,1513,TRUE,207,78,885,TRUE,TRUE,345000,32956.24161,67800
11596,1,0,1,500,250,250,253,19,591,TRUE,110.8,19,379,TRUE,TRUE,180000,9033.907135,26900
11598,0,1,2,1000,500,500,392,35,1197,TRUE,197.4,35,732,TRUE,TRUE,325000,12459.91877,53500
11692,0,1,5,2200,1100,1100,902,39,2577,TRUE,0,39,1139,TRUE,TRUE,670000,12036.54066,113900
11693,0,0,2,800,400,400,328,54,622,TRUE,0,54,454,TRUE,TRUE,230000,46252.96875,45400
11694,0,0,4,1600,800,800,752,111,1211,TRUE,0,111,911,TRUE,TRUE,460000,65454.85199,91100
11697,0,0,1,400,154,154,0,0,280,TRUE,0,0,154,TRUE,TRUE,115000,,15400
11702,0,0,2,800,397,397,373,0,588,TRUE,131,0,528,TRUE,TRUE,230000,0,39700
11704,0,0,5,2000,1000,1000,972,69,1646,TRUE,142.2,69,1211,TRUE,TRUE,575000,28367.96388,106900
11706,0,0,10,4000,2000,2000,2408,119,3786,TRUE,586.2,119,2705,TRUE,TRUE,1150000,35491.39397,211900
11709,0,0,1,400,123,123,52,0,243,TRUE,0,0,123,TRUE,TRUE,115000,0,12300
11715,0,0,1,400,82,82,40,0,265,TRUE,0,0,82,TRUE,TRUE,115000,0,8200
11718,0,1,0,200,91,91,0,0,195,TRUE,0,0,91,TRUE,TRUE,95000,,9100
11719,1,0,0,100,50,50,122,17,178,TRUE,60.6,17,127,TRUE,TRUE,65000,9066.885246,6700
11720,0,0,5,2000,973,973,483,0,1345,TRUE,90.4,0,1063,TRUE,TRUE,575000,0,97300
11721,0,1,0,200,100,100,188,19,247,TRUE,102,19,221,TRUE,TRUE,95000,7969.402118,11900
11724,0,1,0,200,100,100,128,1,209,TRUE,60.6,1,161,TRUE,TRUE,95000,459.7402597,10100
11729,1,0,3,1300,650,650,521,46,1114,TRUE,122.6,46,818,TRUE,TRUE,410000,29775.78035,69600
11730,0,0,2,800,389,389,95,0,613,TRUE,69.8,0,458,TRUE,TRUE,230000,0,38900
11731,0,1,4,1800,900,900,577,49,1593,TRUE,323.8,49,1272,TRUE,TRUE,555000,18114.76097,94900
11732,0,1,0,200,72,72,0,0,159,TRUE,0,0,72,TRUE,TRUE,95000,,7200
11733,1,0,0,100,50,50,696,35,831,TRUE,440,19,509,TRUE,TRUE,65000,8750,6900
11738,0,0,4,1600,766,766,477,0,1095,TRUE,212,0,978,TRUE,TRUE,460000,0,76600
11740,0,0,1,400,198,198,272,0,552,TRUE,121.8,0,319,TRUE,TRUE,115000,0,19800
11741,1,0,4,1700,850,850,600,52,1424,TRUE,168.2,52,1070,TRUE,TRUE,525000,21496.0414,90200
11742,0,0,2,800,368,368,481,0,689,TRUE,184.6,0,552,TRUE,TRUE,230000,0,36800
11743,0,0,0,0,0,0,1758,112,1804,TRUE,890.8,112,1002,TRUE,TRUE,0,33641.66759,11200
11751,0,0,2,800,391,391,257,0,548,TRUE,61.2,0,452,TRUE,TRUE,230000,0,39100
11753,0,1,1,600,300,300,289,31,750,TRUE,65.8,31,396,TRUE,TRUE,210000,17478.4342,33100
11754,0,0,2,800,400,400,540,24,893,TRUE,258.8,24,682,TRUE,TRUE,230000,6577.777778,42400
11755,0,1,1,600,300,300,293,8,617,TRUE,0,8,308,TRUE,TRUE,210000,3015.929204,30800
11763,0,0,2,800,400,400,939,14,1509,TRUE,464,14,878,TRUE,TRUE,230000,4330.054645,41400
11764,0,0,0,0,0,0,558,51,571,TRUE,235.8,51,286,TRUE,TRUE,0,19910.57662,5100
11766,0,0,1,400,130,130,317,0,573,TRUE,189.4,0,319,TRUE,TRUE,115000,0,13000
11767,0,1,1,600,300,300,208,29,705,TRUE,99,29,428,TRUE,TRUE,210000,18087.72331,32900
11769,0,1,0,200,100,100,157,18,305,TRUE,107.2,18,225,TRUE,TRUE,95000,7272.993631,11800
11770,1,0,0,100,0,0,0,0,5,TRUE,0,0,0,TRUE,TRUE,65000,,0
