,facility_id,program_type,facility_status,facility_name,city,zipcode,school_district_name,infant_capacity,toddler_capacity,preschool_capacity,school_age_capacity,children_capacity,total_capacity,latitude,longitude,under-5_capacity
1556,445794,GFDC,License,"Aronova, Nina",Rego Park,11374,Queens 28,0,0,0,0,12,12,40.731225,-73.857427,0.0
1557,322350,SACC,Registration,Kids Orbit @ PS 9,Brooklyn,11238,Brooklyn 13,0,0,0,100,0,100,40.678313,-73.965735,0.0
1558,824483,GFDC,License,"Rogers, Katherine",Valley Stream,11581,Valley Str Hemp 24,0,0,0,4,12,16,40.649842,-73.707316,0.0
1559,876257,GFDC,License,Mora Chava's Playgroup,Brooklyn,11230,Brooklyn 22,0,0,0,4,12,16,40.612493,-73.956233,0.0
1560,614514,GFDC,License,"Chabad of North Brooklyn, Inc.",Brooklyn,11249,Brooklyn 14,0,0,0,4,12,16,40.717034,-73.959704,0.0
1561,297785,FDC,Registration,"Isham, Janette",Keene Valley,12943,Keene,0,0,0,2,6,8,44.199757,-73.781444,0.0
1562,858960,SACC,Registration,WORLD EXPLORERS GROUP INC,Brooklyn,11217,Brooklyn 13,0,0,0,7,0,7,40.688799,-73.97794,0.0
1563,811932,GFDC,License,Sherlet Day Care LLC,Rosedale,11422,Queens 29,0,0,0,4,12,16,40.660896,-73.759519,0.0
1564,867335,SACC,Registration,"UMAP, LLC",New York,10032,Manhattan 6,0,0,0,54,0,54,40.836372,-73.939264,0.0
1565,433133,SACC,Registration,Cypress Hills Local Dev. @ PS 65,Brooklyn,11208,Brooklyn 19,0,0,0,210,0,210,40.687111,-73.878345,0.0
1566,850389,DCC,License,Little Love Bugs,Gowanda,14070,Gowanda,8,0,10,12,0,30,42.473256,-78.940723,14.0
1567,45091,DCC,License,"Columbia Opportunities, Inc.",CRARYVILLE,12521,Taconic Hills,0,0,18,0,0,18,42.147244,-73.636614,10.799999999999999
1568,723217,GFDC,License,Jireh Family Group Day Care LLC,Hempstead,11550,Uniondale,0,0,0,4,12,16,40.702661,-73.605517,0.0
1569,756196,GFDC,License,"Lekoba, Micheline",Bronx,10456,Bronx 9,0,0,0,4,12,16,40.834905,-73.915712,0.0
1570,289770,GFDC,License,Cozy Corner Childcare,Mahopac,10541,Mahopac,0,0,0,4,12,16,41.364162,-73.783277,0.0
1571,446909,GFDC,License,Learn and Play Daycare,Coram,11727,Longwood,0,0,0,2,12,14,40.868878,-72.979726,0.0
1572,868200,DCC,License,Pro Action Of Steuben & Yates Inc.,Hornell,14843,Canisteo-Greenwood,16,8,0,0,0,24,42.306939,-77.658417,24.0
1573,744765,SACC,Registration,EL Puente Leadership Center @ Indepence Tow,Brookklyn,11211,Brooklyn 14,0,0,0,80,0,80,40.705365,-73.963403,0.0
1574,845087,GFDC,License,"Rivera, Olivia",Bronx,10469,Bronx 11,0,0,0,4,12,16,40.875256,-73.858043,0.0
